Platzierung	ID	Titel
60	71905	Spielplätze sanieren
61	71082	Ein zentrales Silvesterfeuerwerk in Stuttgarts Zentrum
62	72135	Mehr Sitzgelegenheiten auf dem Schlossplatz
63	71946	Kostenlose Periodenartikel in Schulen
64	71561	Stadt soll Repaircafės in den Stadtteilen einrichten
65	72309	Großes Fahrrad-Parkhaus am neuen S21-Bahnhof
66	71360	Nesenbach oberirdisch
67	70017	Freies WLAN in allen Einrichtungen der Stadtbibliothek Stuttgart einführen
68	70646	nächtliche Erreichbarkeit des Flughafens mit ÖPNV verbessern
69	70104	Reduzierung der ÖPNV Preise
70	71565	Toiletten / WC am Eugensplatz
71	71304	Digitalisierung/Modernisierung an Schulen
72	70040	Toiletten im Höhenpark Killesberg sanieren
73	70468	Mit intelligenter Straßenbeleuchtung Lichtverschmutzung, Geld und Energie einsparen
74	72281	Mehr Bäume und Sträucher ins \"Verkehrsbegleitgrün\"
75	70436	Kostenlose Nahverkehr für Kita- und Schülergruppen
76	71165	Fahrradwege Gesamtkonzept
77	72202	Leerstand konsequent ahnden
78	72107	Hebammenmangel Stuttgart
79	72184	Raucherinseln in unterirdischen Haltestellen abschaffen
80	70827	Ausbau der Radinfrakstruktur im Stadtgebiet
81	72357	Arnulf-Klett-Platz und Passage sanieren
82	70229	Wiederbepflanzung der Baumkästen in der Bebelstrasse zwischen Spittastrasse und Vogelsang
83	71354	Besteuerung leerstehende Wohnungen
84	71336	Anpassung der Pflege von städtischen Grasflächen an den Klimawandel
85	71574	Zügiger Ausbau der Hauptradrouten für Fahrräder
86	72132	Außengastronomie stärken
87	70733	Begrünung der U-Bahn Linien
88	71973	Angebot für alle Dächer für Photovoltaik-Anlagen über die Stadt Stuttgart
89	71187	Spielhallen konsequent schließen
90	70254	Erneuerbare Energie fördern
91	70665	Stadtgarten als wichtige Grünfläche und Parkanlage umgestalten
92	71192	Leo-Vetter-Bad auch im Sommer für ALLE öffnen!
93	70315	Grundsatzentscheidung: Begrünung der Gleisbette der oberirdischen Stadtbahntrassen
94	72329	Eigentum verpflichtet - Anreize schaffen, um Leerstand sinnvoll nutzbar zu machen!
95	71900	Konzepte für ein lebenswertes Stadtklima entwickeln und umsetzen
96	72196	Stuttgarter Plätze als Stadtraum für die Bürger zurückgewinnen
97	72226	Wagenhallen-Container-Dorf muss bleiben
98	72297	Schulsekretariate und damit Schulleitungen entlasten
99	72268	Wirkungsvolle Alkohol- und Drogenprävention an Stuttgarter Schulen
100	70880	Grünkonzept und Bepflanzung städtischer Gebäuden
101	72208	Erhaltung alter Häuser in Stuttgart
102	71481	Wegränder in Stadtwäldern (und in der Stadt) bienenfreundlich pflegen
103	71305	Psychologische Unterstützung an Schulen
104	71500	Treppe am Schwabtunnel reparieren bzw. wieder öffnen
105	71725	Begrünung des Römerkastells
106	71056	Stadtbegrünung in Kooperation mit Bürgern und Gartenbauvereinen
107	71724	Verschattungen im öffentlichen Raum
108	71640	„Die nette Toilette“ für die Neckarvorstadt und Bad Cannstatt!
109	70180	Sanierung Villa Berg starten
110	72162	Schoettle-Areal als Quartiers-Utopie
111	72352	Arnulf Klett Platz (Hbf) mit Radwegen erschließen
112	72337	Hitze- und Starkregenschutz für obdachlose Menschen
113	71772	Längere Betriebszeiten des ÖPNV in der Nacht
114	70046	Förderung Photovoltaik Balkonanlagen
115	72130	Grünflächen + Wasserzugänge breitflächig vermehren (Klimawandel)
116	71553	Gehweg - Absenkungen für Rollstuhl - und Radwegzufahrten
117	70035	Amtsblatt Online bereitstellen
118	70331	Energiegewinnung aus den Abwasserkanälen ausweiten
119	72074	Kastrations- und Registrierpflicht für freilaufende Katzen
120	72236	Energiesparen durch Ausschalten von Ampelanlagen nachts an wenig befahrenen Stellen
121	71944	Cannstatt fahrradfreundlich gestalten
122	72255	Leerstände von gewerblicher Nutzung in Wohnraum umwidmen
123	70193	Bahnbrücke über Neckar als Fahrradweg umgestalten
124	72089	Den Heslacher Tunnel zum Heizen nutzen – Nahwärme aus Abgasen gewinnen!
125	70990	Erhalt der Rosenstein-Eisenbahnbrücke
126	70004	\"GEMEINSAM AKTIV für Kultur, Natur und Sport in WEILIMDORF!\" Walz-Areal entwickeln
127	70473	Mama-, Papa-, Oma-, Tante-Taxi erschweren
128	70742	Hauptradrouten als durchgängige Fahrradstraßen ausweisen
129	70700	Baden im Neckar dulden
130	72314	Quartiersentwicklung – Kinder und Jugendliche ins Zentrum nehmen
131	70267	Nutzung von Sporthallen in Ferien
132	70552	Parkgebühren per App mit Handy zahlen
133	70495	Flughafen VVS Zone 1/2
134	70801	Mehr Baumfelder, Regenwasserversickerung
135	72244	Bushaltestellen generell mit Sitzgelegenheit und Überdachung versehen
136	71458	Ausbau neuer Krippen und Kindergärten fördern
137	71903	Kostenloser Transport mit der SSB von Schulklassen
138	70921	Barrierefreie ÖPNV-Haltestellen und Fahrzeuge
139	70882	\"Bassin de Cannstatt\" Badewannen-Pool im Neckar
140	71991	Großen attraktiven Spielplatz mitten in der Innenstadt
141	70493	Ökologisch Stadtgärtnern ohne Laubbläser
142	70750	Pflegende Angehörige besser unterstützen
143	72288	Cityticket
144	71913	Für den Erhalt der Nahversorgung in Hofen
145	71949	Wilhelmsbrücke in Bad Cannstatt zu einer attraktiven Verbindung und einem beliebten Aufenthaltsort machen
146	71763	Alle Stuttgarter Schulen klimaneutral machen!
147	70914	\"Grüne Welle\" für Radler am Charlottenplatz
148	70027	Einführung VVS-Familienkarte
149	70970	Öffnungszeiten Hallenbäder
150	70391	Baumschutzsatzung auf das gesamte Stadtgebiet ausdehnen
151	71520	Ampelschaltungen für Fußgänger/Radfahrer ändern
152	70531	Mehr in Bildung und Kinderbetreuung investieren
153	70378	Intelligente Ampeln an wichtigen Verkehrskreuzungen
154	70878	Chinesischer Garten - Pflege und Bewirtung
155	72116	Leerstehende Wohnungen melden / Wohnungstauschbörse
156	70666	Park anstatt Parkplatz, bzw. den Wassergraben um die Zentralbibliothek endlich realisieren
157	70202	Bäume pflanzen im Killesbergpark!
158	70161	Nächtliche U-Bahn-Fahrten einführen
159	71457	Radfahren priorisieren
160	72282	Wohnungslosigkeit bekämpfen
161	70125	Grüne Welle wiederherstellen - die Ampeln an das Tempolimit anpassen
162	70891	W-Lan in allen Öffentlichen Verkehrsmittel
163	72206	Radweg zwischen Fernsehtum und Stuttgart Ost
164	71197	Schlüssige und durchgängige Radwege in Vaihingen umsetzen, ohne Fußgängerwege zu beeinträchtigen
165	70527	Strikte Trennung Rad- und Gehwege
166	71495	Tübingerstraße zum Flanieren
167	70958	Trinkbrunnen Südheimer Platz
168	70231	Mehr Bäume in Vaihingen
169	72289	Schulessen – Gleichbehandlung für alle Kinder mit BuT-Berechtigung
170	71654	WLAN in den Flüchtlingsunterkünften
171	72211	Stadtbahn Doppelzüge verstärkt einsetzen
172	71918	Olgastrasse begrünen
173	72446	Lebenswerte, klimaangepasste Stadt mit Förderprogramm für Dach- und Vertikalbegrünungen
174	71765	Bessere Mitnahmeregel für eigene Kinder bei SSB/VVS-Abo
175	71741	Radwege weiterbauen und und vorhandene pflegen
176	72325	Erhaltung des Weinbaus mit Trockenmauern
177	71941	Lebensqualität steigern durch Stadtpflege Grünanlagen, Verkehrsinseln etc. Farbe macht das Leben bunter
178	70212	Toilette beim Spielplatz einrichten!
179	70029	Schnellere Spielplatzreparaturen einführen
180	70803	Günstigen Wohnraum schaffen
181	71141	Schaltung Fußgängerampeln im ganzen Stadtgebiet verbessern.
182	71910	Ausbau der flexiblen Nachmittagsbetreuung für Schüler (Hort, Schülerhäuser, offene Ganztagesschulen)
183	72273	ÖPNV Takterhöhung
184	71998	Schulstraße durch Begrünung aufwerten
185	71368	NorDIY Skatepark erhalten
186	72029	Früh- bzw. Kurzschwimmertarif im Leuze bzw. Mineralbad Berg
187	70305	Wieder vom kulturellen und sozialen Leben in den Stadtbezirken berichten!
188	70343	Elektronische Ausstattung der Schulen
189	71919	Durchgängige Fahrradquerverbindung zu Filderorten sowie zu angrenzenden Teilorten wie z. B. nach Möhringen, Degerloch, Echterdingen
190	71510	Barrierefreie Toilette und Kiosk am Südheimer Platz
191	70769	Neue Schulausstattung
192	71274	Wohnungsnot in Stuttgart entschärfen
193	70773	Freies WLAN an öffentlichen Plätzen
194	70421	Mehr Personal + Digitalisierung + Barrierefreie städtische Dienststellen/ Behörden
195	72258	Öffentliche Toilette am Bismarckturm
196	72233	Straßenbahnlinie U8 soll auch abends und am Wochenende fahren
197	70564	Offene Schulhöfe für Kinder und Jugendliche außerhalb der Unterrichtszeiten
198	70370	Günstige SSB Tickets für Senioren
199	70016	Ausgabe von Gelben Säcke auch bei Wertstoffhöfen
200	72295	Clubkultur in Stuttgart erhalten
201	71022	Superinseln
202	71536	Mehr Fahrradstr. & Einbahnstraßen grundsätzlich für Radfahrer \"frei\" machen.
203	71630	Mehr Stadt für Alle: weniger Autos, mehr Platz und Lebensqualität
204	70061	Wohnungsbau erweitern
205	70220	Autofreier Sonntag
206	70545	City-Maut einführen
207	71221	\"Haltestelle\" - Ein Rückzugsort von jungen Menschen für junge Menschen
208	72426	Umsetzung der Fahrradstraße vom Ostendplatz Richtung Stuttgart-Mitte
209	71161	S-Bahn Ausbau der Panoramabahn
210	71734	Digitale Terminvergabe Bürgeramt Sillenbuch
211	72469	Verlängerung der Fahrzeiten der Zacke.
212	70931	Gebührenfreie Kitas
213	70155	Fahrradmitnahme in Stadtbahnen verbessern
214	72232	Mehr Fahrradwege und weniger Parkplätze im öffentlichen Raum
215	70055	Fußwege für Schulkinder dauerhaft sicher machen
216	70271	Markthalle in Bad Cannstatt schaffen
217	70012	Homepage der Stadt Stuttgart überarbeiten
218	70826	Barrierefreie, bodengleiche Überwege
219	71244	Legale Mountainbike Trails. Freizeitkonzept umsetzen
220	70586	Bezirksbeiratsprotokolle und –Anträge auf der Internetseite der Stadt veröffentlichen
221	72103	Verbesserter Nachtverkehr
222	70848	Hallenbäder der Stadt auch für Kinder attraktiv machen
223	71961	Beleuchtung Sportplätze aussen rechtzeitig ausschalten.
224	70444	Öffentliche Parkplätze mit PV-Modulen beschatten
225	70739	Ausbau der S-Bahn als Ringbahn
226	71761	Sauberkeit im Zentrum und an den Aussichtspunkten
227	72160	Urban Gardening an Hochschulen und Universitäten
228	72298	Mehr Geld für pflegerische Betreuungskräfte in den SBBZ
229	70777	Selbstverteidigungskurs in Schulen
230	70655	Schwammstadt und blau-grüne Infrastruktur anstatt Beton, Bewässerung und Trockenheit
231	71639	Sonnensegel am Wasserspielplatz am Olgaareal
232	72424	Pfandbecherautomaten aufstellen
233	71153	Mehr Radstellplätze in Wohngebieten ähnlich Roller-Stellplätze
234	71795	Radweg von Dobelstrasse bis zum Charlottenplatz
235	70529	Laute Motorräder und laute Autos verbieten und Verstöße konsequent bestrafen
236	70497	Grünen Wasserstoff in Klärwerken erzeugen
237	70671	Radstreifen an der Theodor-Heuss-Straße verlängern
238	71278	Kostenfreie Anmeldungen Bibliotheken
239	71607	Wärme-Entzug aus dem Abwasser der Mineralquellen.
240	71796	Führerscheintausch: digitaler Prozess etablieren
241	70415	Renovierung der Bolzplätze
242	70446	Brunnen am Schlossplatz sanieren
243	72124	Zügige Entfernung von grundwasserverseuchenden Zigarettenstummeln an den Stadtbahn-Endhaltestellen
244	71604	Sauberkeit Treppenaufgänge Fußgängerbrücke Wilhelmsplatz Bad Cannstatt
245	71728	Sitzgelegenheiten im Wohngebiet
246	71816	Jährliche Bürgeraktion um die Grünflächen zu säubern
247	72115	Rückkauf von Wohnungen / Grundstücken nach Ulmer Modell
248	72322	Radwegbeschilderung mit Gesamtkonzept
249	72416	Pfand Pizzaboxen anstatt Pizzakartons in Stuttgart
250	72345	Falschparken konsequent vermeiden und abschleppen
251	70612	Eliszis Jahrmarktstheater
252	71661	Leerstandserfassungssystem
253	70697	S-Bahn Äste alternieren
254	71766	Null-Euro-Ticket für die Ärmsten der Armen
255	70741	Zukunftsinvestition Waldgebiete
256	71461	Bänke zwischen Wilhelmsplatz (Mitte) und Rotebühlplatz
257	70361	Schneefreie Radwege, damit Radler sicher fahren können
258	70113	Parkflächen für E-Roller einführen
259	70196	Ausbau der U-Bahn bis Mercedes Benz Museum
260	71449	Neue Weinsteige Fuß/ Radweg
261	72321	Auch in Stuttgart kostenloser ÖPNV ab dem 3. Kind
262	71211	Parkplätze zu Baumstandorten
263	72179	Fahrradweg zwischen Sillenbuch und Stadtmitte
264	70790	Bank an der Bushaltestelle Feuersee ( Linien 41/43/92)
265	71041	Unterbindung von nächtlichen Beschleunigungsrennen durch festen Blitzer
266	72201	Radweg Waldebene Ost in die Innenstadt
267	71957	Sichere, überwachte Stellplätze für Pedelecs und Fahrräder schaffen
268	71343	Aufzüge - U-Bahn Haltestellen
269	71809	Feuerbach renaturieren
270	72054	Umbau bestehender Radwege nach bewährten Regeln
271	72360	Rotblitzer Fußgängerampel Nikolauspflege einrichten - Tempo 30 vor Blindenschule
272	72136	Klimaschutzmaßnahmen in Stuttgart ausarbeiten und vor Ort mit den Bürgerinnen/Bürgern umsetzen
273	71753	Schlossgarten zusammenwachsen lassen
274	71625	Auf dem Walz-Areal, eine große Bienenweide für Bienen, Schmetterlinge und andere Insekten anbringen
275	70072	Einrichtung eines durchgehendes Fahrradwegs in der Neckarstraße
276	70311	Radstreifen und Begünung der Reinsburgstraße
277	72353	Werbung im öffentlichen Raum einschränken
278	71266	Anerkennung ausländischer Abschlüsse (Bildungsberüfe)
279	71993	Konsequente Sanktionierung von Falschparken
280	70693	Möglichkeit für freiwillige Gelbe Tonne statt Gelber Sack schaffen
281	71406	Legale Grafitti auf Kabelverteilerschränke etc.
282	71564	Einrichtung einer Radroute durch den Killesbergpark
283	70719	U8 fahren bis Betriebsschluß
284	71335	Lapidarium Öffnungszeiten erweitern
285	70751	Mehr Budget für Bildung
286	70119	Urban living and Rooftop farming
287	72146	Bürger*innen-freundlicher Wilhelmsplatz Bad Cannstatt und Durchfahrt Bad Cannstatt
288	70181	Begrünung Hackstraße
289	71950	Baustellen zeitlich besser planen
290	71693	Grüner Abbiegepfeil für Fahrräder
291	71414	Kostenfreies Deutschlandticket auch für aktive Mitglieder der Freiwilligen Feuerwehren in Stuttgart einführen
292	72303	Stadttauben-Projekt
293	71952	Rosensteinbrücke für ÖPNV, Fuß- und Radverkehr
294	70481	Radweg zwischen Stuttgart-Büsnau und Stuttgart-Vaihingen
295	72203	Schüler W-Lan an weiterführenden Schulen
296	70616	Schließfächer einrichten
297	72216	Schlaglöcher weg - Stuttgart Süd und West
298	70166	Parkanlage vor Villa Berg als Urban Gardening in Stand setzen.
299	70663	Strassengrün - der einfachste Weg zur CO2-Minimierung und Strassenverschönerung
300	71955	Mehr Streetart in Stuttgart
301	70077	Stellenausbau bei den städtischen Ämtern
302	71349	Verbesserung der Stuttgart App
303	72072	Öffentliche Toilette Bosch Areal
304	72213	Verpackungssteuer in Stuttgart
305	70164	Verbesserung der Verkehrssituation durch bessere Ampelschaltungen
306	71929	Taskforce für Bausanierungen aller frühkindlichen städtischen Bildungseinrichtungen
307	70863	Telefonzellen zur Bücherschränke umwandeln
308	72133	Panoramabahnstrecke durch neue Infrastrukturgesellschaft sichern
309	71511	Mehrjährige Blühbrachen und Hecken auf allen landwirtschaftlich genutzten Flächen
310	70664	Bauen im Bestand anstatt Abriss und klimaschädlicher Neubau
311	70592	(Lasten-)Fahrrad-Abstellmöglichkeiten schaffen
312	70638	Mehr Schonwälder und Bannwälder in Stuttgart ausweisen
313	70987	Fahrrad U-Bahn zwischen Kaltental und Vaihingen
314	71341	Rasenfläche bei der Eisdiele am Berliner Platz familienfreundlich gestalten
315	72209	Ampeln mit Rückwärtszählern ausstatten und intelligentere Ampelschaltungen installieren
316	71971	Klima macht Schule
317	71826	Personalausweis für obdachlose Menschen
318	71525	Opernsanierung überprüfen
319	72156	Radweg Verbindung Degerloch - > Heslach - Süd - West
320	70585	Sammeltaxi: Transport zum Einkaufen für ältere und gehbehinderte Menschen
321	70740	Radwege vom Laub befreien
322	72185	Öffentliches Grün
323	70714	Energiegewinnung und Nachhaltigkeit am Klinikum und Uni
324	71641	Blumen für die Wilhelmsbrücke!
325	71218	49€ für Schüler und Studierende gratis bzw. Stark verbilligt
326	70390	Windräder- oder Windkraft-Anlagen errichten
327	72240	Grundsteuerreduzierung für Grünflächen
328	71327	Fußgängerinsel am Rotebühlplatz verbreitern für Fußgänger/Lastenräder/Fahrräder mit Anhänger
329	70916	E-Scooter / E-Roller Sharing verbieten
330	71092	Reinsburgstraße als Fahrradstraße verwirklichen
331	70239	Öffentliche Toilette am Vaihinger Bahnhof ersetzen
332	72392	Radweg zum Robert-Bosch-Krankenhaus
333	71830	Masterplan für Energiewende in der Großstadt
334	72370	Betreuter Taubenturm Charlottenplatz, Schlossplatz
335	70139	Bibliothek der Dinge
336	71008	Radweg Plieningen, Hohenheim und Birkach - Stuttgart City
337	70887	Hostile Architecture verbieten
338	70813	Kreisverkehr für Radfahrer überm Charlottenplatz
339	71549	Koordination Baustellen
340	70536	Fahrradhauptroute Cannstatt Richtung Innenstadt entzerren
341	72440	Fahrradwege entlang der B14 und B27
342	71528	Breitscheidstraße zur Fahrradstraße umwandeln
343	71985	Dach- und Fassadenbegrünung im Hafen
344	71124	Beleuchtung der Stadtbibliothek abschalten
345	72012	Sammeln und Verwerten von Alttextilien als Rohstoffe
346	71134	Land- bzw. Grünflächenbebauung stoppen
347	70207	Neugestaltung Dreieck Cannstatt Bhf-Wilhelmsplatz-Carre
348	71735	Radweg in der Ostendstraße
349	72280	ÖPNV Fahrzeuge anschaffen
350	70833	Neckarwasser reinigen über 1. Abwasserdesinfektionsanlage à la München
351	70991	Bäume / Bauminseln in Kaltental
352	70406	Familiencafés, Generationencafés und das Miteinander fördern
353	72088	Skatepark Stuttgart West
354	70876	Nachhaltigkeit bei Stadtplanung und Bau fördern
355	70881	Begrünungspflicht einführen
356	70764	Legale Graffiti Wände in Stuttgart Vaihingen
357	70973	Stadtbahn und Radverkehr
358	71213	Mehr Fahrrad-Abstellmöglichkeiten, Fahrradparkhaus Bahnhof Möhringen
359	71969	Ausbau der ökologischen und solidarischen Landwirtschaft
360	70107	Spielplatz für Erwachsene schaffen in Stuttgart-West
361	72217	Pkw´s mit Überbreite
362	72434	Ausbau der traumaspezifischen (ambulanten) Hilfe in Stuttgart (auch) für Männer, Kinder und Familien
363	72191	Radwegekonzept für Weilimdorf entwickeln
364	72468	Rosensteingarten besser beleuchten
365	71136	Leer stehende Wohnhäuser
366	71474	Erdwärme aus S 21 Bahntunnel gewinnen.
367	71038	Konzept für die Entrümpelung der Innenstadt
368	72096	Miteinander statt gegeneinander: Ineinandergreifende Mobilitätskonzepte entwickeln
369	71276	Gestaltung Rosenbergplatz
370	71872	Sicher Radfahren: Radweg Am Wallgraben errichten
371	72020	49-Euro-Ticket für freiberufliche Hebammen
372	70026	Einsatzteam Fahrradwege einführen
373	70865	Fahrrad-Highway entlang der Cannstatter Straße
374	71895	Zuschuss zum Neubau Kinder- und Jugendfarm Zuffenhausen
375	70754	Mehr und schnellere Baugenehmigungen erteilen
376	71112	Tischtennisplatten
377	71362	Bessere Fuß- und Radverbindung zwischen Stuttgart Ost und Mitte - Wagenburgfahrradtunnel oder Shuttlebus
378	71601	Bodenversiegelung und Flächenverbrauch auf Privatgrundstücken stoppen
379	72428	Stadtbahn U15 ganztägig bis Heumaden
380	71845	Start des Begleitgremium Maker City Rosenstein/Wagenhallen-Quartier/Kulturschutzgebiet
381	71948	Parkplatzprobleme in Stuttgart lösen!
382	70483	Verwaltungsreform
383	72104	Rosenbergplatz beleben
384	70352	Radweg zwischen Birkach, Asemwald und Degerloch
385	71585	Alle Sporthallen am Wochenende für den Trainingsbetrieb öffnen
386	71708	Teckplatz (Stuttgart Ost) lebenswerter und grüner gestalten
387	70787	Tischtennisplatten am Berliner Platz
388	70770	Selbstverteidigungskurs für junge Frauen
389	70213	Zebrastreifen Gablenberger Hauptstraße
390	71797	Trockene Abstellmöglichkeiten für Fahrräder
391	71657	Sportplätze Leuze frei zugänglich machen
392	70148	Johannesstraße als Spielstraße für Kinder öffnen und als Spazier-Allee nutzen
393	70779	Mehr Proberäume für Bands
394	70447	Verschönerung Marktplatz
395	72065	Eine verbesserte Reklamations- und Fehlerkultur in Amt und Behörden
396	71262	Öffnung des Zugangs zum Krankenhausbunker
397	70490	Radwege in Stuttgart Nord
398	70334	Neckarwelle
399	71155	Tempo 30 als innerörtliche Regelgeschwindigkeit einführen
400	70923	Bäume auf dem Filderbahnplatz pflegen und schützen 
401	71670	Vergewaltigungsopfer
402	70388	Plattform für Musikveranstaltungen für junge Musiker*innen aus dem Raum Stuttgart einrichten
403	72098	Ampel am Fußgängerüberweg B14 vor dem Landtag durchgängig schalten
404	70567	Tempolimit und Bäume Seyfferstraße zw. Gutenberg- und Paulusstraße
405	70737	Geschwindigkeiten öfter kontrollieren
406	70544	Polygo Karte Digital
407	71619	Eingegangene Bäume in S-Hausen durch Neueinpflanzung ersetzen
408	72166	Fußgängerfreundliches Stuttgart/ Verkehrsüberwachung
409	71612	Aufstockung Personal Verlässliche Grundschule
410	71695	Klein-Windkraftanlagen errichten
411	72062	Asphaltierter Radweg zwischen Weilimdorf und Vaihingen
412	71159	Vereinen auf dem Marktplatz an Markttagen einen Stand ermöglichen
413	71598	Fahrradstraße in Feuerbach
414	72161	Fairen Handel stärken
415	70524	Klingenden Stolperstein am StadtPalais wiederherstellen
416	70877	Chinesischer Garten - Kontrollen
417	71572	Lange Nacht der Museen fördern
418	71901	Rosensteinbrücke: Temporäre Ersatzbrücke für Fußgänger und Fahrräder vor dem Abriss planen und bereitstellen
419	71864	Liegewiese für den Süden
420	71739	Radweg ab Inselbad Richtung Obertürkheim
421	72316	Öffentliche Toilette in der Unterführung am Schillerplatz reaktivieren
422	70971	Kursangebote Hallenbäder Stuttgart
423	71202	Trennung von Fuß- und Radverkehr an Matthäuskirche, Erwin-Schoettle-Platz
424	71309	Lastenradtaugliche Radinfrastruktur
425	72080	Aufzug am S-Bahnhof Nordbahnhof nachrüsten
426	70198	Leise E-Busse anschaffen
427	70118	Zebrastreifen für Kindergarten und Schule - Widmaierstr. 100, Stg. Möhringen
428	71376	Durchgängige U-Bahnlinie Plieningen Garbe zum Hbf
429	71715	Naherholung: Mehr öffentliche Beachvolleyball-Plätze
430	72318	Fahrradmitnahme im ÖPNV auch während der Pendlerzeiten erlauben
431	70597	Sophienstraße für Fußgänger umgestalten
432	71938	Radschnellweg von EnBW City nach Möhringen
433	70089	Sichere Fahrradstellplätze, überdacht, auch in Wohnstraßen
434	70539	Offene Sporthallen für Jugendliche
435	70200	Fahrradmitnahme in Bussen erlauben, die große Steigungen befahren
436	70130	Schnellbus vom Hauptbahnhof zur Universität Hohenheim
437	70999	Ladestationen weiter ausbauen. Straßenlaternen nutzen
438	72200	Bäume Hauptstrasse pflanzen und Tempo 30
439	70676	Bismarckplatz wieder schön gestalten
440	71154	Fußgängerüberwege am Hölderlinplatz verbessern
441	71673	Öffnungszeiten Sportbad Neckarpark ausweiten
442	71975	Mobilitätswende 2.0 zur autofreien (Innen)stadt
443	70842	Keine neuen Brunnen ohne Sanierung der vorhandenen Brunnen
444	70450	Stadtteilbezogene Kinder-und Jugendportale einrichten
445	71649	E-Bike Ladestationen bei E-Auto Ladestationen anbringen
446	70217	Bademöglichkeit im Max-Eyth-See schaffen
447	70910	Landschaftspflege und Artenvielfalt für Vaihingen
448	71316	Verkehrsberuhigte Bereiche
449	70030	Fußgängerboulevard Liederhalle - Stadtgarten (Beginn Breitscheidstraße)
450	71983	Öffentlichen Raum attraktiv gestalten
451	70127	Zeitweilige Flanier- und Essensmeile auf der Theodor-Heuss-Straße
452	71348	Zebrastreifen für Vogelsangschüler
453	71557	Putzete für Schulklassen oder Kindergartengruppen
454	72257	Den Sportplatz der Schickhardtschule abends bis 22 Uhr beleuchten
